x	y	formation
107.973	3588.576	T
772.447	3301.737	T
958.053	3279.394	T
1553.819	3466.958	T
244.382	3517.247	T
416.209	3441.004	T
595.747	3362.75	T
1171.385	3332.941	T
1369.725	3395.11	T
1754.772	3552.455	T
1935.729	3627.228	T
212.884	2519.512	S
140.386	2692.274	S
47.461	2737.48	S
462.568	2083.295	S
668.768	1923.641	S
927.937	2004.092	S
2527.966	2921.395	S
329.632	2241.107	S
2348.241	2947.461	S
1171.161	2212.248	S
1394.856	2431.166	S
1606.993	2635.655	S
1862.148	2828.302	S
2088.008	2943.291	S
2714.562	2894.286	S
1178.816	1933.471	R
754.728	1627.027	R
1591.739	2405.994	R
2691.223	2700.262	R
161.073	1984.487	R
300.282	1850.991	R
524.667	1703.01	R
1002.434	1752.889	R
1400.662	2183.129	R
1779.324	2562.428	R
2026.469	2725.918	R
2399.25	2744.052	R
2926.232	2682.965	R
1604.528	716.39	Q
2299.118	1369.978	Q
2758.326	1754.155	Q
2495.685	1545.869	Q
137.641	810.711	Q
364.939	587.642	Q
1779.474	971.577	Q
2011.159	1218.981	Q
652.562	474.217	Q
980.813	453.345	Q
1275.867	533.35	Q
1734.141	19.456	P
1926.207	145.225	P
2100.125	311.881	P
2269.17	488.87	P
2502.966	673.418	P
2775.596	815.739	P
