X	Y	formation
868.46	156.184	P
478.227	985.507	P
1100.963	1584.277	P
1347.138	301.74	O
998.148	1070.693	O
1860.327	1804.279	O
1512.897	3563.581	O
1646.724	299.083	N
1333.955	1095.527	N
2476.066	1723.276	N
1985.709	3673.658	N
2835.775	1582.279	N
2184.906	338.746	M
2662.117	1177.302	M
1841.896	877.428	M
2997.341	1148.625	M
2069.472	1061.385	M
448.626	2125.294	Z
680.753	3785.148	Z
1668.295	2586.177	Z
1292.374	2708.387	Z
2742.12	2212.308	Z
2705.974	2962.947	Z
543.937	1460.389	Y
1771.09	2103.513	Y
2546.101	1919.745	Y
1455.538	3432.628	Y
2075.791	2285.19	Y
2347.882	2115.61	Y
2813.415	1646.927	Y
2072.068	3400.709	Y
2346.885	3808.795	Y
