X	Y	Z	formation	id
848.63	935.151	500	A1	1
857.845	2480.978	500	A1	1
681.956	2388.077	600	A1	2
686.819	1192.807	600	A1	2
1589.61	1086.547	400	A2	4
1592.943	2520.838	400	A2	4
1769.505	1461.833	500	A2	5
1772.018	2258.93	500	A2	5
353.635	951.303	600	B1	6
365.2	2490.157	600	B1	6
177.546	2239.346	700	B1	7
185.286	1267.145	700	B1	7
1941.023	1226.864	400	B2	8
1935.669	2454.22	400	B2	8
2121.119	1481.307	500	B2	9
2115.273	2240.441	500	B2	9
3866.421	1067.456	200	B3	11
3866.293	1596.712	200	B3	11
3707.578	871.289	300	B3	12
3690.714	1765.866	300	B3	12
