X	Y	formation
557.847	2797.426	X
2712.664	2462.978	X
3098.05	1454.495	X
2207.055	937.432	X
2151.627	1210.6	X
3842.1	1264.21	Y
3411.899	2745.346	Y
1211.685	2917.354	Y
316.176	549.069	E
2138.508	2384.216	E
1974.833	1606.429	E
2003.981	555.821	E
143.233	2739.247	E
2309.565	2281.445	E
2482.508	2279.466	E
2636.574	2334.993	E
2879.99	2427.789	E
2369.105	234.287	E
2798.464	559.167	E
3098.712	511.738	E
3321.064	640.152	E
3112.955	1577.279	E
2767.33	1881.107	E
2517.715	1963.357	E
2134.556	1797.102	E
1606.519	915.462	E
440.512	2817.907	E
205.662	777.909	E
1929.897	1823.071	D
2953.111	2078.879	D
2080.573	239.693	D
229.474	2561.793	D
426.089	825.889	D
1556.869	1244.096	D
1365.028	764.976	D
2370.529	67.053	D
2818.444	247.709	D
3293.3	269.965	D
2098.226	2225.816	D
672.093	2748.243	D
30.392	2412.469	D
794.744	189.51	C
1348.057	142.857	C
1249.94	1613.712	C
553.654	2050.136	C
280.187	1706.08	C
651.009	1457.004	C
992.963	1237.956	C
1468.802	2048.484	C
1237.984	2225.183	C
1019.423	2344.397	C
1055.713	344.076	C
813.561	1363.595	C
1164.642	1463.246	C
1102.214	1351.335	C
1158.985	126.109	B
782.226	1998.485	B
1150.981	1799.877	B
728.784	1711.241	B
1146.768	2069.679	B
922.31	103.69	B
