X	Y	Z	formation	id
3722.819	2697.02	900	X	1
4033.66	2567.362	900	X	1
3757.645	1529.483	1000	X	2
3.25	3239.031	1000	X	2
2766.607	532.117	700	E1	3
2756.577	1878.985	700	E1	3
3048.861	513.615	800	E1	4
3067.538	1610.734	800	E1	4
2004.382	558.229	700	E2	5
2025.907	1676.256	700	E2	5
1739.742	727.89	800	E2	6
1717.173	1142.65	800	E2	6
376.84	1603.941	400	C	7
363.6	1851.915	400	C	7
666.797	1452.435	500	C	8
650.006	2143.259	500	C	8
2020.05	1921.09	600	D1	9
2002.135	2326.344	600	D1	9
1741.848	2487.804	700	D1	10
1717.936	1537.806	700	D1	10
66.802	2447.679	600	D2	11
65.819	1023.477	600	D2	11
355.535	875.051	700	D2	12
396.218	2647.266	700	D2	12
