X	Y	formation
386.364	818.76	B
464.891	2146.337	B
1532.148	2220.139	B
1585.727	589.429	B
918.663	2331.523	C
563.867	1001.525	C
2036.441	893.729	C
1910.381	2090.645	C
921.304	1125.168	D
1104.21	1756.984	D
2777.533	1267.671	D
2682.744	2189.873	D
2931.095	2388.277	D
3185.092	1132.186	D
3285.127	2036.19	H
3450.851	804.445	H
2666.274	312.764	H
1240.885	2701.738	F1
1152.195	18.982	F1
1179.679	844.203	F1
1220.541	1988.98	F1
2787.592	2679.813	F2
3134.97	112.202	F2
2958.423	1439.692	F2
911.905	1329.075	G
1516.46	1334.769	G
1242.31	1097.323	G
1253.585	1531.919	G
2714.954	1715.328	G
2389.032	340.715	G
3324.495	965.129	G
3182.694	2272.557	G
1178.202	1092.411	G
1109.925	1100.509	G
1046.287	1139.901	G
1085.342	1544.005	G
1162.01	1544.701	G
1209.735	1542.768	G
1309.475	1108.276	G
1415.66	1470.115	G
949.622	1464.977	G
1442.867	1194.844	G
963.868	1218.736	G
