X	Y	Z	formation	id
2105.934	871.073	600	C	1
1827.823	2017.452	600	C	1
1764.81	939.321	700	C	2
1548.548	1796.898	700	C	2
1422.922	966.296	800	C	3
1263.922	1603.283	800	C	3
2907.172	903.812	700	G	4
2910.403	1321.256	700	G	4
978.931	1198.292	900	G	5
983.153	1510.447	900	G	5
1216.667	2015.206	600	F1	6
1177.959	637.771	600	F1	6
1213.574	1828.749	700	F1	7
1181.885	824.333	700	F1	7
1207.667	1610.423	800	F1	8
1187.792	954.698	800	F1	8
3029.393	928.489	700	F2	9
2864.555	2130.716	700	F2	9
3050.032	739.367	800	F2	10
2896.834	1912.53	800	F2	10
