X	Y	formation
2612.996	2205.994	F
2697.935	2092.821	F
2800.899	1935.712	F
2901.717	1752.015	F
3062.756	1507.51	F
3301.343	1186.575	F
3400.915	1041.921	F
3547.888	861.242	F
3603.945	675.485	F
3674.562	586.121	F
3739.091	447.521	F
3806.903	246.787	F
3848.272	8.372	F
871.39	1782.355	Permian Limestone
1565.623	2230.079	Permian Limestone
3291.221	2537.214	Permian Limestone
2044.429	2257.732	Permian Limestone
2556.774	2207.282	Permian Limestone
2645.82	2232.875	Permian Limestone
1730.659	1779.78	Coal
2450.252	1724.325	Coal
3059.803	1832.327	Coal
3868.535	1193.99	Coal
317.364	506.821	Coal
487.131	1423.168	Coal
1485.085	2127.448	Coal
2067.681	1300.3	Coal
2202.827	1264.624	Coal
2603.002	2111.294	Coal
3446.978	1464.161	Coal
563.634	1710.341	Coal
341.148	968.399	Coal
2847.182	1940.808	Coal
3285.536	1682.835	Coal
4016.412	1117.773	Coal
3628.756	1291.339	Coal
625.01	1415.091	A
424.564	386.362	A
1288.711	1449.829	A
1674.033	427.705	A
2429.971	398.303	A
2529.543	1423.702	A
3570.461	1049.833	A
2256.958	872.171	A
2255.51	17.847	A
1739.057	24.324	A
943.822	1768.924	A
501.123	48.997	A
742.992	1777.093	A
3714.538	701.741	A
500.664	846.413	A
1747.933	1102.51	A
3328.299	1170.862	A
3745.326	530.298	A
693.628	454.108	B
736.592	1008.913	B
1047.227	989.134	B
1060.136	344.909	B
2621.119	293.741	B
2776.712	1298.46	B
3617.588	149.382	B
3184.864	1230.309	B
2952.237	1363.279	B
816.763	147.211	B
843.755	1167.587	B
1200.893	629.009	B
3732.215	365.038	B
