X	Y	Z	formation	id
63.612	1737.94	350	Permian Limestone	1
1866.905	2375.597	350	Permian Limestone	1
2304.654	2187.76	400	Permian Limestone	2
3342.51	2560.03	400	Permian Limestone	2
692.418	250.743	200	B1	3
685.119	431.937	200	B1	3
792.851	162.905	250	B1	4
799.233	1125.821	250	B1	4
1094.849	378.837	200	B2	5
1100.166	931.84	200	B2	5
882.924	1142.583	250	B2	6
899.648	194.993	250	B2	6
1650.214	113.026	200	A1	7
1690.209	1163.686	200	A1	7
1499.665	1328.156	250	A1	8
1508.168	355.672	250	A1	8
2259.039	113.375	150	A2	9
2259.954	1016.071	150	A2	9
2401.311	304.965	200	A2	10
2401.94	531.733	200	A2	10
3084.669	1275.718	200	B3	11
3084.889	401.909	200	B3	11
2899.645	1400.961	250	B3	12
2899.847	421.872	250	B3	12
3667.154	978.242	50	A3	13
3667.375	303.217	50	A3	13
3500.853	1092.868	100	A3	14
3500.211	307.89	100	A3	14
3794.635	290.448	50	F	15
3490.877	924.958	50	F	15
3833.877	98.269	100	F	16
3386.318	1052.979	100	F	16
3495.242	1411.651	150	Coal3	17
3495.363	2133.501	150	Coal3	17
3308.971	1661.676	200	Coal3	18
3308.126	2168.405	200	Coal3	18
2306.488	1440.169	250	Coal2	19
2306.013	2030.614	250	Coal2	19
2415.43	1640.922	300	Coal2	20
2415.017	2035.692	300	Coal2	20
2092.454	1275.958	200	Coal1	21
2092.344	1962.464	200	Coal1	21
1892.559	1498.255	250	Coal1	22
1892.244	2013.337	250	Coal1	22
1706.453	1819.025	300	Coal1	23
1706.38	2248.9	300	Coal1	23
